,Unnamed: 0,tanggal_kejadian,kota_administrasi,lokasi,rw,jumlah_terdampak_jiwa,ketinggian_air,kluster
852,282,2019-01-25,jakarta barat,"jakarta barat, kel. kembangan utara",10,0,20,0
853,283,2019-01-12,jakarta barat,"jakarta barat, kel. jati pulo",6,0,40,0
854,284,2019-01-12,jakarta barat,"jakarta barat, kel. kota bambu utara",1,0,20,0
855,285,2019-01-13,jakarta selatan,"jakarta selatan, kel. jatipadang",6,240,60,0
856,286,2019-01-22,jakarta selatan,"jakarta selatan, kel. jatipadang",6,240,60,0
857,287,2019-01-08,jakarta timur,"jakarta timur, kel. kampung melayu",4,213,30,0
858,287,2019-01-08,jakarta timur,"jakarta timur, kel. kampung melayu",5,213,30,0
859,288,2019-01-21,jakarta timur,"jakarta timur, kel. kampung melayu",4,213,30,0
860,288,2019-01-21,jakarta timur,"jakarta timur, kel. kampung melayu",5,213,30,0
861,289,2019-01-30,jakarta timur,"jakarta timur, kel. rawa terate",4,0,30,0
862,289,2019-01-30,jakarta timur,"jakarta timur, kel. rawa terate",5,0,30,0
863,290,2019-02-01,jakarta utara,"jakarta utara, kel. kamal muara",1,0,5,0
864,290,2019-02-01,jakarta utara,"jakarta utara, kel. kamal muara",4,0,5,0
865,291,2019-02-02,jakarta utara,"jakarta utara, kel. kamal muara",1,0,5,0
866,291,2019-02-02,jakarta utara,"jakarta utara, kel. kamal muara",4,0,5,0
867,292,2019-02-01,jakarta barat,"jakarta barat, kel. kembangan utara",1,0,60,0
868,293,2019-02-02,jakarta barat,"jakarta barat, kel. kembangan utara",1,0,60,0
869,294,2019-02-01,jakarta barat,"jakarta barat, kel. kamal",1,0,5,0
870,295,2019-02-03,jakarta barat,"jakarta barat, kel. kamal",1,0,5,0
871,296,2019-02-11,jakarta selatan,"jakarta selatan, kel. grogol selatan",6,0,50,0
872,297,2019-02-12,jakarta selatan,"jakarta selatan, kel. grogol selatan",6,0,50,0
873,298,2019-02-16,jakarta selatan,"jakarta selatan, kel. cipulir",8,0,40,0
874,298,2019-02-16,jakarta selatan,"jakarta selatan, kel. cipulir",1,0,40,0
875,299,2019-02-17,jakarta selatan,"jakarta selatan, kel. cipulir",8,0,40,0
876,299,2019-02-17,jakarta selatan,"jakarta selatan, kel. cipulir",1,0,40,0
877,300,2019-02-16,jakarta selatan,"jakarta selatan, kel. pejaten timur",5,171,80,0
878,300,2019-02-16,jakarta selatan,"jakarta selatan, kel. pejaten timur",6,171,80,0
879,300,2019-02-16,jakarta selatan,"jakarta selatan, kel. pejaten timur",7,171,80,0
880,300,2019-02-16,jakarta selatan,"jakarta selatan, kel. pejaten timur",8,171,80,0
881,301,2019-02-26,jakarta selatan,"jakarta selatan, kel. pejaten timur",5,171,80,0
882,301,2019-02-26,jakarta selatan,"jakarta selatan, kel. pejaten timur",6,171,80,0
883,301,2019-02-26,jakarta selatan,"jakarta selatan, kel. pejaten timur",7,171,80,0
884,301,2019-02-26,jakarta selatan,"jakarta selatan, kel. pejaten timur",8,171,80,0
