,kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian,Unnamed: 0.1
590,Jakarta Selatan,PANCORAN,PENGADEGAN,RW 01,1,1,0,0,10 cm - 120 cm,25 oktober 2020,0,0,0,0,0,0,0,0,590.0
591,Jakarta Selatan,PASAR MINGGU,PEJATEN BARAT,RW 08,1,1,0,0,20 cm,02 oktober 2020,0,0,0,0,0,0,0,0,591.0
592,Jakarta Selatan,PASAR MINGGU,RAGUNAN,RW 09,1,1,0,0,20 cm,02 oktober 2020,0,0,0,0,0,0,0,0,592.0
593,Jakarta Selatan,PASAR MINGGU,CILANDAK TIMUR,RW 01,1,1,0,0,10 cm - 100 cm,"04, 05, 10, 11 oktober 2020",0,0,0,0,0,150,2,0,593.0
594,Jakarta Selatan,PASAR MINGGU,CILANDAK TIMUR,RW 03,1,1,0,0,20 cm - 180 cm,"04, 05, 10, 11 oktober 2020",0,0,0,0,0,0,0,0,594.0
595,Jakarta Selatan,PASAR MINGGU,CILANDAK TIMUR,0,0,1,0,0,20 cm - 180 cm,"04, 05, 10, 11 oktober 2020",0,0,0,0,0,0,0,0,595.0
596,Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,RW 05,1,1,0,0,10 cm - 130 cm,05 oktober 2020,0,0,0,0,0,107,1,0,596.0
597,Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,RW 06,1,1,0,0,10 cm - 130 cm,"05, 25 oktober 2020",0,0,0,0,0,0,0,0,597.0
598,Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,0,0,1,0,0,10 cm - 130 cm,"05, 25 oktober 2020",0,0,0,0,0,0,0,0,598.0
599,Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,RW 07,1,1,0,0,10 cm - 100 cm,25 oktober 2020,0,0,0,0,0,0,0,0,599.0
600,Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,RW 08,1,1,0,0,10 cm - 85 cm,25 oktober 2020,0,0,0,0,0,0,0,0,600.0
601,Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,0,0,1,0,0,20 cm - 150 cm,05 oktober 2020,0,0,0,0,0,0,0,0,601.0
602,Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,0,0,1,0,0,20 cm - 150 cm,05 oktober 2020,0,0,0,0,0,0,0,0,602.0
603,Jakarta Selatan,PASAR MINGGU,KEBAGUSAN,RW  01,1,1,0,0,20 cm - 40 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,603.0
604,Jakarta Selatan,PASAR MINGGU,JATI PADANG,RW 05,1,1,0,0,20 cm - 40 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,604.0
605,Jakarta Selatan,PASAR MINGGU,JATI PADANG,RW 06,1,1,0,0,20 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,605.0
606,Jakarta Selatan,PASAR MINGGU,JATI PADANG,0,0,1,0,0,10 cm - 20 cm,"10, 11, 26 oktober 2020",0,0,0,0,0,0,0,0,606.0
607,Jakarta Selatan,PASAR MINGGU,JATI PADANG,0,0,1,0,0,10 cm - 20 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,607.0
608,Jakarta Selatan,PASAR MINGGU,JATI PADANG,0,0,1,0,0,20 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,608.0
609,Jakarta Selatan,JAGAKARSA,CIGANJUR,RW 2,1,1,300,1200,120 cm,"10, 11 oktober 2020",0,0,0,0,0,271,3,0,609.0
610,Jakarta Selatan,JAGAKARSA,CIGANJUR,0,0,1,0,0,120 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,610.0
611,Jakarta Selatan,JAGAKARSA,CIGANJUR,RW 05,1,1,0,0,10 cm - 40 cm,"04, 05 oktober 2020",0,0,0,0,0,0,0,0,611.0
612,Jakarta Selatan,JAGAKARSA,CIPEDAK,RW 04,1,1,0,0,50 cm - 70 cm,"04, 05 oktober 2020",0,0,0,0,0,0,0,0,612.0
613,Jakarta Selatan,JAGAKARSA,CIPEDAK,0,0,1,0,0,40 cm,"04, 05 oktober 2020",0,0,0,0,0,0,0,0,613.0
614,Jakarta Selatan,JAGAKARSA,CIPEDAK,RW 05,1,1,0,0,30 cm,"04, 05 oktober 2020",0,0,0,0,0,0,0,0,614.0
615,Jakarta Selatan,JAGAKARSA,CIPEDAK,0,0,1,0,0,40 cm,"04, 05 oktober 2020",0,0,0,0,0,0,0,0,615.0
616,Jakarta Selatan,KEBAYORAN BARU,PETOGOGAN,RW 02,1,1,0,0,30 cm - 60 cm,"05, 16, 27 oktober 2020",0,0,0,0,0,0,0,0,616.0
617,Jakarta Selatan,KEBAYORAN BARU,PETOGOGAN,0,0,1,0,0,30 cm,16 oktober 2020,0,0,0,0,0,0,0,0,617.0
618,Jakarta Selatan,KEBAYORAN BARU,PETOGOGAN,RW 03,1,1,0,0,50 cm - 60 cm,05 oktober 2020,0,0,0,0,0,0,0,0,618.0
619,Jakarta Selatan,TEBET,KEBON BARU,RW 10,1,1,0,0,10 cm - 30 cm,25 oktober 2020,0,0,0,0,0,0,0,0,619.0
620,Jakarta Selatan,TEBET,KEBON BARU,0,0,1,0,0,30 cm - 50 cm,"05, 25 oktober 2020",0,0,0,0,0,0,0,0,620.0
621,Jakarta Selatan,TEBET,MANGGARAI,RW 01,1,1,0,0,10 cm - 50 cm,"05, 25 oktober 2020",0,0,0,0,0,0,0,0,621.0
622,Jakarta Selatan,TEBET,MANGGARAI,0,0,1,0,0,10 cm - 50 cm,"05, 25 oktober 2020",0,0,0,0,0,0,0,0,622.0
623,Jakarta Selatan,TEBET,MANGGARAI,0,0,1,0,0,10 cm - 50 cm,"05, 25 oktober 2020",0,0,0,0,0,0,0,0,623.0
624,Jakarta Selatan,TEBET,MANGGARAI,0,0,1,0,0,30 cm - 50 cm,05 oktober 2020,0,0,0,0,0,0,0,0,624.0
625,Jakarta Selatan,TEBET,MANGGARAI,RW 10,1,1,0,0,10 cm - 30 cm,25 oktober 2020,0,0,0,0,0,0,0,0,625.0
626,Jakarta Selatan,PESANGGRAHAN,BINTARO,RW 01,1,1,0,0,50 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,626.0
627,Jakarta Selatan,PESANGGRAHAN,BINTARO,0,0,1,0,0,30 - 50 cm,"04, 05, 09, 10, 11 oktober 2020",0,0,0,0,0,0,0,0,627.0
628,Jakarta Selatan,PESANGGRAHAN,BINTARO,RW 03,1,1,0,0,10 - 30 cm,25 oktober 2020,0,0,0,0,0,0,0,0,628.0
629,Jakarta Selatan,PESANGGRAHAN,BINTARO,RW 04,1,1,0,0,20 cm,09 oktober 2020,0,0,0,0,0,0,0,0,629.0
630,Jakarta Selatan,PESANGGRAHAN,BINTARO,RW 05,1,1,0,0,10 - 50 cm,"10, 11, 25 oktober 2020",0,0,0,0,0,0,0,0,630.0
631,Jakarta Selatan,PESANGGRAHAN,BINTARO,0,0,1,0,0,10 - 50 cm,"05, 09, 10, 11, 25 oktober 2020",0,0,0,0,0,0,0,0,631.0
632,Jakarta Selatan,PESANGGRAHAN,BINTARO,RW : 09,1,1,0,0,50 - 60 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,632.0
633,Jakarta Selatan,PESANGGRAHAN,BINTARO,0,0,1,0,0,50 - 60 cm,"10, 11 oktober 2020",0,0,0,0,0,0,0,0,633.0
