Unnamed: 0,tanggal_kejadian,kota_administrasi,lokasi,rw,jumlah_terdampak_jiwa,ketinggian_air
30,16 februari 2018,jakarta barat,"jakarta barat, kapuk",04,0,5 - 60 cm
30,16 februari 2018,jakarta barat,"jakarta barat, kapuk",05,0,5 - 60 cm
30,16 februari 2018,jakarta barat,"jakarta barat, kapuk",06,0,5 - 60 cm
30,16 februari 2018,jakarta barat,"jakarta barat, kapuk",07,0,5 - 60 cm
30,16 februari 2018,jakarta barat,"jakarta barat, kapuk",09,0,5 - 60 cm
30,16 februari 2018,jakarta barat,"jakarta barat, kapuk",10,0,5 - 60 cm
30,16 februari 2018,jakarta barat,"jakarta barat, kapuk",11,0,5 - 60 cm
30,16 februari 2018,jakarta barat,"jakarta barat, kapuk",12,0,5 - 60 cm
30,16 februari 2018,jakarta barat,"jakarta barat, kapuk",13,0,5 - 60 cm
30,16 februari 2018,jakarta barat,"jakarta barat, kapuk",15,0,5 - 60 cm
30,16 februari 2018,jakarta barat,"jakarta barat, kapuk",16,0,5 - 60 cm
31,15 februari 2018,jakarta barat,"jakarta barat, rawa buaya",01,0,5 - 30 cm
31,15 februari 2018,jakarta barat,"jakarta barat, rawa buaya",02,0,5 - 30 cm
31,15 februari 2018,jakarta barat,"jakarta barat, rawa buaya",05,0,5 - 30 cm
31,15 februari 2018,jakarta barat,"jakarta barat, rawa buaya",11,0,5 - 30 cm
32,15 februari 2018,jakarta barat,"jakarta barat, duri kosambi",4,0,10 - 50 cm
33,16 februari 2018,jakarta barat,"jakarta barat, duri kosambi",4,0,10 - 50 cm
34,15 februari 2018,jakarta barat,"jakarta barat, cengkareng barat",04,0,10 - 80 cm
34,15 februari 2018,jakarta barat,"jakarta barat, cengkareng barat",06,0,10 - 80 cm
34,15 februari 2018,jakarta barat,"jakarta barat, cengkareng barat",09,0,10 - 80 cm
34,15 februari 2018,jakarta barat,"jakarta barat, cengkareng barat",10,0,10 - 80 cm
34,15 februari 2018,jakarta barat,"jakarta barat, cengkareng barat",11,0,10 - 80 cm
