,Unnamed: 0,tanggal_kejadian,kota_administrasi,lokasi,rw,jumlah_terdampak_jiwa,ketinggian_air
93,27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",4,0,20 - 30 
94,27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",5,0,20 - 30 
95,27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",6,0,20 - 30 
96,27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",7,0,20 - 30 
97,27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",8,0,20 - 30 
98,27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",9,0,20 - 30 
99,27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",10,0,20 - 30 
100,27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",11,0,20 - 30 
101,27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",12,0,20 - 30 
102,27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",13,0,20 - 30 
103,27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",14,0,20 - 30 
104,27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",15,0,20 - 30 
105,27,17 februari 2018,jakarta barat,"jakarta barat, tegal alur",16,0,20 - 30 
106,28,15 februari 2018,jakarta barat,"jakarta barat, kamal",1,0,30 - 50 
107,28,15 februari 2018,jakarta barat,"jakarta barat, kamal",2,0,30 - 50 
108,28,15 februari 2018,jakarta barat,"jakarta barat, kamal",3,0,30 - 50 
109,28,15 februari 2018,jakarta barat,"jakarta barat, kamal",4,0,30 - 50 
110,28,15 februari 2018,jakarta barat,"jakarta barat, kamal",5,0,30 - 50 
111,28,15 februari 2018,jakarta barat,"jakarta barat, kamal",6,0,30 - 50 
112,28,15 februari 2018,jakarta barat,"jakarta barat, kamal",7,0,30 - 50 
113,28,15 februari 2018,jakarta barat,"jakarta barat, kamal",8,0,30 - 50 
114,28,15 februari 2018,jakarta barat,"jakarta barat, kamal",9,0,30 - 50 
115,29,15 februari 2018,jakarta barat,"jakarta barat, kapuk",1,0,5 - 60 
116,29,15 februari 2018,jakarta barat,"jakarta barat, kapuk",2,0,5 - 60 
117,29,15 februari 2018,jakarta barat,"jakarta barat, kapuk",3,0,5 - 60 
118,29,15 februari 2018,jakarta barat,"jakarta barat, kapuk",4,0,5 - 60 
119,29,15 februari 2018,jakarta barat,"jakarta barat, kapuk",5,0,5 - 60 
120,29,15 februari 2018,jakarta barat,"jakarta barat, kapuk",6,0,5 - 60 
121,29,15 februari 2018,jakarta barat,"jakarta barat, kapuk",7,0,5 - 60 
122,29,15 februari 2018,jakarta barat,"jakarta barat, kapuk",9,0,5 - 60 
123,29,15 februari 2018,jakarta barat,"jakarta barat, kapuk",10,0,5 - 60 
124,29,15 februari 2018,jakarta barat,"jakarta barat, kapuk",11,0,5 - 60 
125,29,15 februari 2018,jakarta barat,"jakarta barat, kapuk",12,0,5 - 60 
126,29,15 februari 2018,jakarta barat,"jakarta barat, kapuk",13,0,5 - 60 
127,29,15 februari 2018,jakarta barat,"jakarta barat, kapuk",15,0,5 - 60 
128,29,15 februari 2018,jakarta barat,"jakarta barat, kapuk",16,0,5 - 60 
129,30,16 februari 2018,jakarta barat,"jakarta barat, kapuk",1,0,5 - 60 
130,30,16 februari 2018,jakarta barat,"jakarta barat, kapuk",2,0,5 - 60 
131,30,16 februari 2018,jakarta barat,"jakarta barat, kapuk",3,0,5 - 60 
132,30,16 februari 2018,jakarta barat,"jakarta barat, kapuk",4,0,5 - 60 
133,30,16 februari 2018,jakarta barat,"jakarta barat, kapuk",5,0,5 - 60 
134,30,16 februari 2018,jakarta barat,"jakarta barat, kapuk",6,0,5 - 60 
135,30,16 februari 2018,jakarta barat,"jakarta barat, kapuk",7,0,5 - 60 
136,30,16 februari 2018,jakarta barat,"jakarta barat, kapuk",9,0,5 - 60 
137,30,16 februari 2018,jakarta barat,"jakarta barat, kapuk",10,0,5 - 60 
138,30,16 februari 2018,jakarta barat,"jakarta barat, kapuk",11,0,5 - 60 
139,30,16 februari 2018,jakarta barat,"jakarta barat, kapuk",12,0,5 - 60 
140,30,16 februari 2018,jakarta barat,"jakarta barat, kapuk",13,0,5 - 60 
141,30,16 februari 2018,jakarta barat,"jakarta barat, kapuk",15,0,5 - 60 
142,30,16 februari 2018,jakarta barat,"jakarta barat, kapuk",16,0,5 - 60 
143,31,15 februari 2018,jakarta barat,"jakarta barat, rawa buaya",1,0,5 - 30 
144,31,15 februari 2018,jakarta barat,"jakarta barat, rawa buaya",2,0,5 - 30 
145,31,15 februari 2018,jakarta barat,"jakarta barat, rawa buaya",5,0,5 - 30 
146,31,15 februari 2018,jakarta barat,"jakarta barat, rawa buaya",11,0,5 - 30 
147,32,15 februari 2018,jakarta barat,"jakarta barat, duri kosambi",4,0,10 - 50 
148,33,16 februari 2018,jakarta barat,"jakarta barat, duri kosambi",4,0,10 - 50 
149,34,15 februari 2018,jakarta barat,"jakarta barat, cengkareng barat",4,0,10 - 80 
150,34,15 februari 2018,jakarta barat,"jakarta barat, cengkareng barat",6,0,10 - 80 
151,34,15 februari 2018,jakarta barat,"jakarta barat, cengkareng barat",9,0,10 - 80 
152,34,15 februari 2018,jakarta barat,"jakarta barat, cengkareng barat",10,0,10 - 80 
153,34,15 februari 2018,jakarta barat,"jakarta barat, cengkareng barat",11,0,10 - 80 
154,34,15 februari 2018,jakarta barat,"jakarta barat, cengkareng barat",16,0,10 - 80 
155,35,16 februari 2018,jakarta barat,"jakarta barat, cengkareng barat",4,0,10 - 80 
156,35,16 februari 2018,jakarta barat,"jakarta barat, cengkareng barat",6,0,10 - 80 
157,35,16 februari 2018,jakarta barat,"jakarta barat, cengkareng barat",9,0,10 - 80 
158,35,16 februari 2018,jakarta barat,"jakarta barat, cengkareng barat",10,0,10 - 80 
159,35,16 februari 2018,jakarta barat,"jakarta barat, cengkareng barat",11,0,10 - 80 
160,35,16 februari 2018,jakarta barat,"jakarta barat, cengkareng barat",16,0,10 - 80 
161,36,15 februari 2018,jakarta barat,"jakarta barat, cengkareng timur",3,0,10 - 80 
162,36,15 februari 2018,jakarta barat,"jakarta barat, cengkareng timur",12,0,10 - 80 
163,36,15 februari 2018,jakarta barat,"jakarta barat, cengkareng timur",13,0,10 - 80 
164,36,15 februari 2018,jakarta barat,"jakarta barat, cengkareng timur",14,0,10 - 80 
165,36,15 februari 2018,jakarta barat,"jakarta barat, cengkareng timur",16,0,10 - 80 
166,37,16 februari 2018,jakarta barat,"jakarta barat, cengkareng timur",3,0,10 - 80 
167,37,16 februari 2018,jakarta barat,"jakarta barat, cengkareng timur",12,0,10 - 80 
168,37,16 februari 2018,jakarta barat,"jakarta barat, cengkareng timur",13,0,10 - 80 
169,37,16 februari 2018,jakarta barat,"jakarta barat, cengkareng timur",14,0,10 - 80 
170,37,16 februari 2018,jakarta barat,"jakarta barat, cengkareng timur",16,0,10 - 80 
171,38,15 februari 2018,jakarta barat,"jakarta barat, kembangan utara",4,0,15 - 30 
172,38,15 februari 2018,jakarta barat,"jakarta barat, kembangan utara",10,0,15 - 30 
173,39,15 februari 2018,jakarta barat,"jakarta barat, duri kepa",1,0,15 - 60 
174,39,15 februari 2018,jakarta barat,"jakarta barat, duri kepa",2,0,15 - 60 
175,39,15 februari 2018,jakarta barat,"jakarta barat, duri kepa",3,0,15 - 60 
176,39,15 februari 2018,jakarta barat,"jakarta barat, duri kepa",4,0,15 - 60 
177,39,15 februari 2018,jakarta barat,"jakarta barat, duri kepa",10,0,15 - 60 
178,40,15 februari 2018,jakarta barat,"jakarta barat, wijaya kusuma",3,0,10 - 50 
