,tanggal_kejadian,kota_administrasi,lokasi,rw,jumlah_terdampak_jiwa,ketinggian_air,tahun
109,2018-02-15,jakarta barat,"jakarta barat, kamal",4,0,50,2018
110,2018-02-15,jakarta barat,"jakarta barat, kamal",5,0,50,2018
111,2018-02-15,jakarta barat,"jakarta barat, kamal",6,0,50,2018
112,2018-02-15,jakarta barat,"jakarta barat, kamal",7,0,50,2018
113,2018-02-15,jakarta barat,"jakarta barat, kamal",8,0,50,2018
114,2018-02-15,jakarta barat,"jakarta barat, kamal",9,0,50,2018
115,2018-02-15,jakarta barat,"jakarta barat, kapuk",1,0,60,2018
116,2018-02-15,jakarta barat,"jakarta barat, kapuk",2,0,60,2018
117,2018-02-15,jakarta barat,"jakarta barat, kapuk",3,0,60,2018
118,2018-02-15,jakarta barat,"jakarta barat, kapuk",4,0,60,2018
119,2018-02-15,jakarta barat,"jakarta barat, kapuk",5,0,60,2018
120,2018-02-15,jakarta barat,"jakarta barat, kapuk",6,0,60,2018
121,2018-02-15,jakarta barat,"jakarta barat, kapuk",7,0,60,2018
122,2018-02-15,jakarta barat,"jakarta barat, kapuk",9,0,60,2018
123,2018-02-15,jakarta barat,"jakarta barat, kapuk",10,0,60,2018
124,2018-02-15,jakarta barat,"jakarta barat, kapuk",11,0,60,2018
125,2018-02-15,jakarta barat,"jakarta barat, kapuk",12,0,60,2018
126,2018-02-15,jakarta barat,"jakarta barat, kapuk",13,0,60,2018
127,2018-02-15,jakarta barat,"jakarta barat, kapuk",15,0,60,2018
128,2018-02-15,jakarta barat,"jakarta barat, kapuk",16,0,60,2018
129,2018-02-16,jakarta barat,"jakarta barat, kapuk",1,0,60,2018
130,2018-02-16,jakarta barat,"jakarta barat, kapuk",2,0,60,2018
131,2018-02-16,jakarta barat,"jakarta barat, kapuk",3,0,60,2018
132,2018-02-16,jakarta barat,"jakarta barat, kapuk",4,0,60,2018
133,2018-02-16,jakarta barat,"jakarta barat, kapuk",5,0,60,2018
134,2018-02-16,jakarta barat,"jakarta barat, kapuk",6,0,60,2018
135,2018-02-16,jakarta barat,"jakarta barat, kapuk",7,0,60,2018
136,2018-02-16,jakarta barat,"jakarta barat, kapuk",9,0,60,2018
137,2018-02-16,jakarta barat,"jakarta barat, kapuk",10,0,60,2018
138,2018-02-16,jakarta barat,"jakarta barat, kapuk",11,0,60,2018
139,2018-02-16,jakarta barat,"jakarta barat, kapuk",12,0,60,2018
140,2018-02-16,jakarta barat,"jakarta barat, kapuk",13,0,60,2018
141,2018-02-16,jakarta barat,"jakarta barat, kapuk",15,0,60,2018
142,2018-02-16,jakarta barat,"jakarta barat, kapuk",16,0,60,2018
143,2018-02-15,jakarta barat,"jakarta barat, rawa buaya",1,0,30,2018
144,2018-02-15,jakarta barat,"jakarta barat, rawa buaya",2,0,30,2018
145,2018-02-15,jakarta barat,"jakarta barat, rawa buaya",5,0,30,2018
146,2018-02-15,jakarta barat,"jakarta barat, rawa buaya",11,0,30,2018
147,2018-02-15,jakarta barat,"jakarta barat, duri kosambi",4,0,50,2018
148,2018-02-16,jakarta barat,"jakarta barat, duri kosambi",4,0,50,2018
149,2018-02-15,jakarta barat,"jakarta barat, cengkareng barat",4,0,80,2018
150,2018-02-15,jakarta barat,"jakarta barat, cengkareng barat",6,0,80,2018
151,2018-02-15,jakarta barat,"jakarta barat, cengkareng barat",9,0,80,2018
152,2018-02-15,jakarta barat,"jakarta barat, cengkareng barat",10,0,80,2018
153,2018-02-15,jakarta barat,"jakarta barat, cengkareng barat",11,0,80,2018
154,2018-02-15,jakarta barat,"jakarta barat, cengkareng barat",16,0,80,2018
