Tanggal,Jam Pasang,Tinggi Pasang,Jam Surut,Tinggi Surut,Koefisien
15 Juni 2020, 12:32 ,0.4, 21:15 ,0.9,50  rata-rata 
16 Juni 2020, 11:57 ,0.4, 21:11 ,0.9,56  rata-rata 
17 Juni 2020, 6:36 ,0.4, 21:12 ,0.9,62  rata-rata 
18 Juni 2020, 6:46 ,0.3, 21:18 ,1.0,68  rata-rata 
19 Juni 2020, 7:09 ,0.3, 21:29 ,1.0,73  tinggi 
20 Juni 2020, 7:40 ,0.2, 21:44 ,1.1,77  tinggi 
21 Juni 2020, 8:16 ,0.2, 22:04 ,1.1,80  tinggi 
22 Juni 2020, 8:55 ,0.2, 22:27 ,1.1,80  tinggi 
23 Juni 2020, 9:35 ,0.2, 22:53 ,1.1,78  tinggi 
24 Juni 2020, 10:11 ,0.2, 23:19 ,1.1,75  tinggi 
25 Juni 2020, 10:42 ,0.2, 23:40 ,1.0,70  tinggi 
26 Juni 2020, 11:05 ,0.2, 23:42 ,0.9,66  rata-rata 
27 Juni 2020, 11:18 ,0.3, 22:31 ,0.8,63  rata-rata 
28 Juni 2020, 11:21 ,0.3, 20:48 ,0.8,62  rata-rata 
29 Juni 2020, 11:12 ,0.4, 20:14 ,0.9,64  rata-rata 
30 Juni 2020, 10:36 ,0.4, 20:15 ,1.0,68  rata-rata 
1 Juli 2020, 5:55 ,0.3, 20:31 ,1.0,73  tinggi 
2 Juli 2020, 6:07 ,0.3, 20:57 ,1.1,78  tinggi 
3 Juli 2020, 6:38 ,0.2, 21:26 ,1.1,82  tinggi 
4 Juli 2020, 7:16 ,0.1, 21:56 ,1.1,84  tinggi 
5 Juli 2020, 7:56 ,0.1, 22:25 ,1.1,84  tinggi 
6 Juli 2020, 8:37 ,0.1, 22:51 ,1.1,82  tinggi 
7 Juli 2020, 9:18 ,0.2, 23:09 ,1.0,77  tinggi 
8 Juli 2020, 9:55 ,0.2, 23:16 ,1.0,71  tinggi 
9 Juli 2020, 10:27 ,0.2, 23:03 ,0.9,64  rata-rata 
10 Juli 2020, 10:52 ,0.3, 22:25 ,0.9,57  rata-rata 
11 Juli 2020, 11:07 ,0.3, 21:37 ,0.8,51  rata-rata 
12 Juli 2020, 11:08 ,0.4, 21:00 ,0.8,46  rendah 
13 Juli 2020, 10:45 ,0.4, 20:37 ,0.8,43  rendah 
14 Juli 2020, 7:20 ,0.4, 20:26 ,0.9,44  rendah 
15 Juli 2020, 5:58 ,0.4, 20:24 ,0.9,47  rendah 
16 Juli 2020, 5:53 ,0.3, 20:32 ,1.0,53  rata-rata 
17 Juli 2020, 6:06 ,0.3, 20:46 ,1.0,61  rata-rata 
18 Juli 2020, 6:29 ,0.2, 21:06 ,1.1,69  rata-rata 
19 Juli 2020, 6:58 ,0.2, 21:30 ,1.1,77  tinggi 
20 Juli 2020, 7:31 ,0.2, 21:56 ,1.1,83  tinggi 
21 Juli 2020, 8:05 ,0.2, 22:23 ,1.1,87  tinggi 
22 Juli 2020, 8:37 ,0.2, 22:50 ,1.1,89  tinggi 
23 Juli 2020, 9:05 ,0.2, 23:13 ,1.0,88  tinggi 
24 Juli 2020, 9:25 ,0.3, 23:23 ,0.9,84  tinggi 
25 Juli 2020, 9:34 ,0.3, 22:40 ,0.8,77  tinggi 
26 Juli 2020, 9:28 ,0.4, 19:55 ,0.8,70  tinggi 
27 Juli 2020, 8:57 ,0.4, 19:07 ,0.8,63  rata-rata 
28 Juli 2020, 6:13 ,0.4, 19:13 ,0.9,58  rata-rata 
29 Juli 2020, 5:00 ,0.3, 19:37 ,1.0,57  rata-rata 
30 Juli 2020, 5:09 ,0.2, 20:08 ,1.1,61  rata-rata 
31 Juli 2020, 5:35 ,0.2, 20:42 ,1.1,67  rata-rata 
1 Agustus 2020, 6:06 ,0.2, 21:16 ,1.1,74  tinggi 
2 Agustus 2020, 6:39 ,0.2, 21:47 ,1.1,79  tinggi 
3 Agustus 2020, 7:13 ,0.2, 22:14 ,1.0,82  tinggi 
4 Agustus 2020, 7:47 ,0.2, 22:35 ,1.0,83  tinggi 
5 Agustus 2020, 8:18 ,0.3, 22:47 ,0.9,81  tinggi 
6 Agustus 2020, 8:44 ,0.3, 22:46 ,0.9,78  tinggi 
7 Agustus 2020, 9:04 ,0.4, 22:25 ,0.8,72  tinggi 
8 Agustus 2020, 9:08 ,0.4, 21:40 ,0.8,65  rata-rata 
9 Agustus 2020, 8:41 ,0.5, 20:42 ,0.8,57  rata-rata 
10 Agustus 2020, 7:04 ,0.5, 19:55 ,0.8,49  rendah 
11 Agustus 2020, 5:26 ,0.5, 19:28 ,0.8,42  rendah 
12 Agustus 2020, 4:47 ,0.4, 19:22 ,0.8,38  rendah 
13 Agustus 2020, 4:41 ,0.3, 19:31 ,0.9,40  rendah 
14 Agustus 2020, 4:51 ,0.3, 19:50 ,0.9,46  rendah 
15 Agustus 2020, 5:11 ,0.2, 20:14 ,1.0,57  rata-rata 
16 Agustus 2020, 5:35 ,0.2, 20:43 ,1.0,69  rata-rata 
17 Agustus 2020, 6:02 ,0.2, 21:13 ,1.1,81  tinggi 
18 Agustus 2020, 6:29 ,0.2, 21:44 ,1.0,92  s. tinggi 
19 Agustus 2020, 6:55 ,0.2, 22:15 ,1.0,99  s. tinggi 
20 Agustus 2020, 7:15 ,0.3, 22:43 ,0.9,103  s. tinggi 
21 Agustus 2020, 7:26 ,0.4, 23:04 ,0.8,101  s. tinggi 
22 Agustus 2020, 7:25 ,0.4, 22:55 ,0.7,94  s. tinggi 
23 Agustus 2020, 7:04 ,0.5, 16:01 ,0.7,83  tinggi 
24 Agustus 2020, 5:56 ,0.5, 16:35 ,0.8,70  tinggi 
25 Agustus 2020, 3:56 ,0.4, 17:24 ,0.9,57  rata-rata 
26 Agustus 2020, 3:34 ,0.3, 18:14 ,0.9,48  rendah 
27 Agustus 2020, 3:50 ,0.2, 19:02 ,1.0,47  rendah 
28 Agustus 2020, 4:16 ,0.2, 19:47 ,1.0,53  rata-rata 
29 Agustus 2020, 4:46 ,0.2, 20:27 ,1.0,62  rata-rata 
30 Agustus 2020, 5:15 ,0.2, 21:03 ,1.0,71  tinggi 
31 Agustus 2020, 5:43 ,0.2, 21:34 ,1.0,78  tinggi 
1 September 2020, 6:09 ,0.3, 21:58 ,0.9,84  tinggi 
2 September 2020, 6:30 ,0.3, 22:14 ,0.9,86  tinggi 
3 September 2020, 6:44 ,0.4, 22:20 ,0.8,86  tinggi 
4 September 2020, 6:45 ,0.4, 22:11 ,0.7,83  tinggi 
5 September 2020, 6:25 ,0.5, 21:34 ,0.7,77  tinggi 
6 September 2020, 5:33 ,0.5, 20:05 ,0.7,70  tinggi 
7 September 2020, 4:25 ,0.5, 13:47 ,0.7,61  rata-rata 
8 September 2020, 3:36 ,0.5, 14:19 ,0.7,51  rata-rata 
9 September 2020, 3:16 ,0.4, 16:25 ,0.8,41  rendah 
10 September 2020, 3:16 ,0.3, 17:28 ,0.8,35  rendah 
11 September 2020, 3:28 ,0.3, 18:14 ,0.9,35  rendah 
12 September 2020, 3:46 ,0.3, 18:56 ,0.9,43  rendah 
13 September 2020, 4:08 ,0.2, 19:35 ,0.9,57  rata-rata 
14 September 2020, 4:31 ,0.2, 20:14 ,1.0,72  tinggi 
15 September 2020, 4:53 ,0.3, 20:51 ,1.0,88  tinggi 
16 September 2020, 5:11 ,0.3, 12:33 ,0.6,101  s. tinggi 
17 September 2020, 5:23 ,0.4, 11:44 ,0.6,110  s. tinggi 
18 September 2020, 5:26 ,0.4, 11:39 ,0.6,113  s. tinggi 
19 September 2020, 5:16 ,0.5, 11:53 ,0.7,109  s. tinggi 
20 September 2020, 4:44 ,0.5, 12:20 ,0.8,98  s. tinggi 
21 September 2020, 3:15 ,0.5, 13:01 ,0.8,82  tinggi 
22 September 2020, 1:38 ,0.4, 14:00 ,0.9,65  rata-rata 
23 September 2020, 1:51 ,0.3, 15:30 ,0.9,49  rendah 
24 September 2020, 2:20 ,0.2, 17:07 ,0.9,40  rendah 
25 September 2020, 2:50 ,0.2, 18:21 ,0.9,41  rendah 
26 September 2020, 3:20 ,0.2, 19:18 ,0.9,49  rendah 
27 September 2020, 3:48 ,0.2, 20:04 ,0.9,60  rata-rata 
28 September 2020, 4:13 ,0.3, 11:48 ,0.7,70  tinggi 
29 September 2020, 4:32 ,0.3, 11:41 ,0.7,78  tinggi 
30 September 2020, 4:46 ,0.4, 11:41 ,0.7,84  tinggi 
1 Oktober 2020, 4:50 ,0.4, 11:39 ,0.7,87  tinggi 
2 Oktober 2020, 4:40 ,0.5, 11:33 ,0.7,87  tinggi 
3 Oktober 2020, 4:09 ,0.5, 11:22 ,0.7,85  tinggi 
4 Oktober 2020, 3:12 ,0.5, 11:13 ,0.8,80  tinggi 
5 Oktober 2020, 2:09 ,0.5, 11:10 ,0.8,72  tinggi 
6 Oktober 2020, 1:34 ,0.4, 11:18 ,0.8,63  rata-rata 
7 Oktober 2020, 1:30 ,0.4, 11:37 ,0.8,53  rata-rata 
8 Oktober 2020, 1:40 ,0.3, 12:07 ,0.9,42  rendah 
9 Oktober 2020, 1:58 ,0.3, 12:59 ,0.9,35  rendah 
10 Oktober 2020, 2:19 ,0.2, 15:35 ,0.8,35  rendah 
11 Oktober 2020, 2:41 ,0.2, 17:37 ,0.9,44  rendah 
12 Oktober 2020, 3:02 ,0.2, 18:44 ,0.9,59  rata-rata 
13 Oktober 2020, 3:19 ,0.3, 11:37 ,0.7,77  tinggi 
14 Oktober 2020, 3:32 ,0.3, 10:38 ,0.7,94  s. tinggi 
15 Oktober 2020, 3:39 ,0.4, 10:21 ,0.7,107  s. tinggi 
16 Oktober 2020, 3:37 ,0.4, 10:22 ,0.8,114  s. tinggi 
17 Oktober 2020, 3:22 ,0.5, 10:35 ,0.9,115  s. tinggi 
18 Oktober 2020, 2:37 ,0.4, 10:58 ,0.9,108  s. tinggi 
19 Oktober 2020, 11:27 ,1.0, 22:49 ,0.3,95  s. tinggi 
20 Oktober 2020, 12:02 ,1.0, 23:58 ,0.2,78  tinggi 
21 Oktober 2020, 12:43 ,1.0, 13:38 ,0.9,61  rata-rata 
22 Oktober 2020, 0:43 ,0.2, 15:15 ,0.9,46  rendah 
23 Oktober 2020, 1:21 ,0.2, 17:11 ,0.8,38  rendah 
24 Oktober 2020, 1:54 ,0.2, 10:59 ,0.8,40  rendah 
25 Oktober 2020, 2:22 ,0.2, 10:36 ,0.8,48  rendah 
26 Oktober 2020, 2:45 ,0.3, 10:30 ,0.8,58  rata-rata 
27 Oktober 2020, 3:02 ,0.3, 10:29 ,0.8,67  rata-rata 
28 Oktober 2020, 3:11 ,0.4, 10:30 ,0.8,75  tinggi 
29 Oktober 2020, 3:11 ,0.4, 10:29 ,0.8,80  tinggi 
30 Oktober 2020, 2:55 ,0.5, 10:26 ,0.8,83  tinggi 
31 Oktober 2020, 2:12 ,0.5, 11:39 ,0.7,84  tinggi 
1 November 2020, 0:25 ,0.5, 10:24 ,0.9,83  tinggi 
2 November 2020, 10:26 ,0.9, 22:50 ,0.4,79  tinggi 
3 November 2020, 10:33 ,0.9, 23:26 ,0.3,73  tinggi 
4 November 2020, 10:47 ,1.0, 23:57 ,0.3,65  rata-rata 
5 November 2020, 11:08 ,1.0, 11:34 ,1.0,55  rata-rata 
6 November 2020, 0:26 ,0.2, 12:06 ,0.9,46  rendah 
7 November 2020, 0:53 ,0.2, 12:38 ,0.9,40  rendah 
8 November 2020, 1:17 ,0.2, 12:37 ,0.8,40  rendah 
9 November 2020, 1:37 ,0.2, 10:49 ,0.8,49  rendah 
10 November 2020, 1:52 ,0.3, 9:51 ,0.8,63  rata-rata 
11 November 2020, 2:01 ,0.3, 9:30 ,0.8,78  tinggi 
12 November 2020, 2:03 ,0.4, 9:29 ,0.9,93  s. tinggi 
13 November 2020, 1:56 ,0.4, 9:42 ,1.0,104  s. tinggi 
14 November 2020, 1:33 ,0.4, 19:38 ,0.3,109  s. tinggi 
15 November 2020, 10:03 ,1.1, 20:57 ,0.2,108  s. tinggi 
16 November 2020, 10:31 ,1.1, 22:07 ,0.2,101  s. tinggi 
17 November 2020, 11:01 ,1.1, 23:04 ,0.2,89  tinggi 
18 November 2020, 11:33 ,1.1, 23:50 ,0.2,75  tinggi 
19 November 2020, 12:04 ,1.0, 12:07 ,0.9,61  rata-rata 
20 November 2020, 12:25 ,1.0, 10:44 ,0.8,49  rendah 
21 November 2020, 0:28 ,0.2, 10:04 ,0.8,42  rendah 
22 November 2020, 0:58 ,0.2, 9:49 ,0.8,41  rendah 
23 November 2020, 1:21 ,0.3, 9:44 ,0.9,45  rendah 
24 November 2020, 1:38 ,0.3, 9:43 ,0.9,52  rata-rata 
25 November 2020, 1:46 ,0.4, 9:44 ,0.9,59  rata-rata 
26 November 2020, 1:43 ,0.4, 19:13 ,0.4,66  rata-rata 
27 November 2020, 1:20 ,0.4, 19:54 ,0.3,72  tinggi 
28 November 2020, 9:46 ,0.9, 20:38 ,0.3,76  tinggi 
29 November 2020, 9:49 ,1.0, 10:24 ,0.9,78  tinggi 
30 November 2020, 9:56 ,1.0, 22:50 ,0.4,79  tinggi 
1 Desember 2020, 10:05 ,1.0, 21:24 ,0.2,77  tinggi 
2 Desember 2020, 10:20 ,1.0, 22:09 ,0.2,74  tinggi 
