,Tanggal,Jam Pasang,Tinggi Pasang,Jam Surut,Tinggi Surut,Koefisien
250,8-Sep-19, 3:47 ,0.2, 19:37 ,0.9,44  rendah 
251,9-Sep-19, 4:15 ,0.2, 20:15 ,0.9,52  rata-rata 
252,10-Sep-19, 4:42 ,0.3, 20:47 ,0.9,62  rata-rata 
253,11-Sep-19, 5:07 ,0.3, 21:13 ,0.9,70  tinggi 
254,12-Sep-19, 5:28 ,0.3, 21:35 ,0.9,77  tinggi 
255,13-Sep-19, 5:45 ,0.4, 21:51 ,0.8,82  tinggi 
256,14-Sep-19, 5:55 ,0.4, 13:16 ,0.6,85  tinggi 
257,15-Sep-19, 5:53 ,0.4, 12:44 ,0.6,85  tinggi 
258,16-Sep-19, 5:35 ,0.5, 12:17 ,0.6,83  tinggi 
259,17-Sep-19, 4:56 ,0.5, 12:00 ,0.7,78  tinggi 
260,18-Sep-19, 4:03 ,0.5, 12:01 ,0.7,71  tinggi 
261,19-Sep-19, 3:12 ,0.5, 12:20 ,0.8,62  rata-rata 
262,20-Sep-19, 2:43 ,0.4, 13:02 ,0.8,53  rata-rata 
263,21-Sep-19, 2:38 ,0.3, 14:34 ,0.8,44  rendah 
264,22-Sep-19, 2:49 ,0.3, 16:42 ,0.9,40  rendah 
265,23-Sep-19, 3:07 ,0.3, 18:00 ,0.9,45  rendah 
266,24-Sep-19, 3:29 ,0.2, 18:57 ,0.9,59  rata-rata 
267,25-Sep-19, 3:52 ,0.2, 19:48 ,0.9,75  tinggi 
268,26-Sep-19, 4:13 ,0.3, 20:34 ,0.9,92  s. tinggi 
269,27-Sep-19, 4:31 ,0.3, 11:10 ,0.6,105  s. tinggi 
270,28-Sep-19, 4:44 ,0.4, 11:03 ,0.7,114  s. tinggi 
271,29-Sep-19, 4:48 ,0.4, 11:13 ,0.7,115  s. tinggi 
272,30-Sep-19, 4:40 ,0.5, 11:33 ,0.8,109  s. tinggi 
273,1 Oktober 2019, 4:02 ,0.5, 12:00 ,0.8,97  s. tinggi 
274,2 Oktober 2019, 12:34 ,0.9, 13:18 ,0.9,81  tinggi 
275,3 Oktober 2019, 0:36 ,0.4, 14:26 ,0.9,64  rata-rata 
276,4 Oktober 2019, 1:13 ,0.3, 16:18 ,0.8,49  rendah 
277,5 Oktober 2019, 1:47 ,0.3, 17:47 ,0.8,37  rendah 
278,6 Oktober 2019, 2:19 ,0.2, 12:07 ,0.7,34  rendah 
279,7 Oktober 2019, 2:48 ,0.2, 11:24 ,0.7,40  rendah 
280,8 Oktober 2019, 3:13 ,0.3, 11:14 ,0.7,49  rendah 
281,9 Oktober 2019, 3:35 ,0.3, 11:10 ,0.7,60  rata-rata 
282,10 Oktober 2019, 3:53 ,0.3, 11:06 ,0.7,69  rata-rata 
283,11 Oktober 2019, 4:04 ,0.4, 11:02 ,0.7,77  tinggi 
284,12 Oktober 2019, 4:08 ,0.4, 10:55 ,0.7,83  tinggi 
285,13 Oktober 2019, 4:00 ,0.5, 10:49 ,0.8,87  tinggi 
286,14 Oktober 2019, 3:36 ,0.5, 10:46 ,0.8,88  tinggi 
287,15 Oktober 2019, 2:51 ,0.5, 10:50 ,0.8,86  tinggi 
288,16 Oktober 2019, 1:42 ,0.5, 11:02 ,0.9,82  tinggi 
289,17 Oktober 2019, 0:46 ,0.4, 11:24 ,0.9,74  tinggi 
290,18 Oktober 2019, 0:39 ,0.4, 11:56 ,0.9,65  rata-rata 
291,19 Oktober 2019, 0:55 ,0.3, 12:41 ,0.9,54  rata-rata 
292,20 Oktober 2019, 1:17 ,0.3, 14:01 ,0.9,45  rendah 
293,21 Oktober 2019, 1:41 ,0.2, 16:29 ,0.9,42  rendah 
